Node Name,label,MCL Cluster,MCL Cluster Size,Node Component Identifier,Node Degree,Node In Degree,Node Multiplicity,Node Out Degree
0,SLC29A4,Cluster 4769,1,Component 1,0,0,1,0
1,PRR14,Cluster 208,7,Component 2,15,0,1,15
2,SLC24A5,Cluster 365,5,Component 2,1,0,1,1
3,KIR3DS1,Cluster 551,4,Component 2,4,0,1,4
4,PTEN,Cluster 145,9,Component 2,38,0,1,38
5,VSIG4,Cluster 8,37,Component 2,35,0,1,35
6,SLC5A2,Cluster 4768,1,Component 3,0,0,1,0
7,MAP2K5,Cluster 1516,2,Component 2,8,0,1,8
8,ERI3,Cluster 364,5,Component 2,3,0,1,3
9,PSMB7,Cluster 550,4,Component 2,14,0,1,14
10,SIGMAR1,Cluster 28,26,Component 2,11,0,1,11
11,BIRC5,Cluster 1,96,Component 2,70,0,1,70
12,ASIC4,Cluster 4767,1,Component 4,0,0,1,0
13,SPO11,Cluster 4766,1,Component 5,0,0,1,0
14,ATAD3A,Cluster 549,4,Component 2,3,0,1,3
15,HCK,Cluster 91,12,Component 2,34,0,1,34
16,RBM4,Cluster 4765,1,Component 6,0,0,1,0
17,ACTA1,Cluster 74,14,Component 2,8,0,1,8
18,TMEM167B,Cluster 264,6,Component 2,3,0,1,3
19,PDGFB,Cluster 881,3,Component 2,2,0,1,2
20,ZNF324,Cluster 880,3,Component 2,2,0,1,2
21,DNAH7,Cluster 4764,1,Component 7,0,0,1,0
22,PANX3,Cluster 879,3,Component 2,2,0,1,2
23,CMTM2,Cluster 18,30,Component 2,12,0,1,12
24,PIR,Cluster 56,17,Component 2,5,0,1,5
25,PRAP1,Cluster 4763,1,Component 8,0,0,1,0
26,IKBKG,Cluster 22,29,Component 2,17,0,1,17
27,LAD1,Cluster 878,3,Component 9,1,0,1,1
28,FAM120B,Cluster 68,15,Component 2,4,0,1,4
29,IFNGR2,Cluster 207,7,Component 2,5,0,1,5
30,PLSCR1,Cluster 3,64,Component 2,47,0,1,47
31,SRGN,Cluster 4762,1,Component 2,32,0,1,32
32,ELOVL5,Cluster 4761,1,Component 10,0,0,1,0
